field,female,male,fieldSize
"Agriculture, Forestry, Fisheries and Veterinary",43.01,56.99,147
Arts and Humanities,63.47,36.53,141
Education,71.96,28.04,141
"Engineering, manufacturing and construction",27.08,72.92,141
Health and welfare,70.95,29.05,140
"Natural Sciences, Mathematics and Statistics",54.64,45.36,136
"Science, Technology, Engineering and Mathematics (STEM)",33.41,66.59,134
Services,46.24,53.76,134
"Social Sciences, Journalism and Information",63.12,36.88,130
Information and Communication Technologies,29.97,70.03,118